trigger_dt,pitch_dt,ticker,sentiment
2026-02-27,2026-02-24,ACTG,bullish
2026-02-24,2026-02-24,FIG,bullish
2026-02-24,2026-02-24,AAPL,bullish
2026-02-24,2026-02-24,JVA,bullish
2026-02-24,2026-02-24,MORN,bullish
2026-02-26,2026-02-25,TH,bullish
2026-03-13,2026-02-25,AXON,bearish
2026-02-26,2026-02-26,BKNG,bullish
2026-03-24,2026-02-26,HUBB,bullish
2026-02-26,2026-02-26,MSFT,bullish
2026-02-26,2026-02-26,FISV,bullish
2026-03-04,2026-02-26,RKLB,bullish
2026-03-17,2026-02-26,MELI,bullish
2026-03-02,2026-02-26,NOC,bullish
2026-02-27,2026-02-27,SKYH,bullish
2026-03-02,2026-02-27,CPRT,bullish
2026-03-25,2026-02-27,DOV,bullish
